X,Y,OBJECTID,primary_key,occ_dt,obfAddress,x_rand,y_rand,disclaimer,place_name,                                             ,locationTranslation
-111.9154840705,33.3779567802,88766,TE201617885         ,2016-02-11T02:15:00.000Z,1XXX E NORTHSHORE DR     ,700361,865045,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8981728153,33.4157597991,88769,TE201619751         ,2016-02-17T02:34:00.000Z,2XXX E LEMON ST     ,705643,878800,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9447825493,33.3847834195,88781,TE201617975         ,2016-02-12T13:36:00.000Z,4XX W BASELINE RD    ,691418,867530,Point has not been altered,CHAPARRAL TRAILER PARK                  ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9528411517,33.3830553269,88782,TE201618449         ,2016-02-13T14:35:00.000Z,1XXX W GREENWAY DR     ,688958,866902,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9553606076,33.3759966288,88786,TE201620276         ,2016-02-18T12:30:00.000Z,1XXX W BASELINE RD     ,688188,864334,Point has not been altered,VILLAGIO APARTMENTS                     ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9538122534,33.4094095525,88787,TE201620316         ,2016-02-18T11:30:00.000Z,1XXX S ROBERTS RD     ,688665,876491,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9509903841,33.3919469745,88790,TE201620994         ,2016-02-20T00:29:00.000Z,8XX W MALIBU DR    ,689524,870137,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9334709891,33.3216567735,88793,TE201621020         ,2016-02-20T01:39:00.000Z,9XXX S FOREST AVE     ,694867,844561,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8955654365,33.3830258237,88800,TE201621098         ,2016-02-20T06:28:00.000Z,2XXX E FREMONT DR     ,706441,866890,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9623026797,33.3520829725,88808,TE201621354         ,2016-02-20T22:14:00.000Z,1XXX W GROVE PKWY     ,686065,855634,Point has not been altered,FINISTERA APARTMENTS                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9566330334,33.4077129098,88809,TE201621397         ,2016-02-20T23:22:00.000Z,1XXX W BROADWAY RD     ,687804,875874,Point has not been altered,in BROADWAY PARK APARTMENTS             ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8976375992,33.4204127617,88810,TE201621303         ,2016-02-20T19:52:00.000Z,8XX S RIVER DR    ,705806,880493,Point has not been altered,QUESTA VIDA APTS                        ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9245058964,33.4147357757,88827,TE201620517         ,2016-02-18T22:21:00.000Z,9XX E APACHE BLVD    ,697608,878427,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9206961643,33.3812795585,88840,TE201621152         ,2016-02-20T11:18:00.000Z,1XXX E FREMONT DR     ,698770,866254,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9507510547,33.3747666878,88845,TE201620750         ,2016-02-19T14:51:00.000Z,7XX W HARVARD DR    ,689595,863886,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8945730443,33.3690416899,88847,TE201621611         ,2016-02-21T11:13:00.000Z,5XXX S SIESTA LN     ,706745,861802,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9628887251,33.4013124453,88849,TE201620848         ,2016-02-19T00:00:00.000Z,2XXX S PLAZA DR     ,685894,873546,Point has not been altered,RESIDENCES AT FOUNTAINHEAD              ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9055364426,33.4195589693,88850,TE201621708         ,2016-02-19T04:00:00.000Z,1XXX E HAYDEN LN     ,703396,880182,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,in HAYDEN LANE APARTMENTS               ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9410941206,33.3866118967,88851,TE201621837         ,2016-02-22T00:15:00.000Z,4XXX S MILL AVE     ,692544,868195,Point has not been altered,DAVENPORT APARTMENTS                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9228696137,33.3555789609,88858,TE201621819         ,2016-02-21T23:03:00.000Z,1XXX E DIVOT DR     ,698106,856903,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9187371153,33.3815984231,88859,TE201621852         ,2016-02-22T01:30:00.000Z,4XXX S KENNETH PL     ,699368,866370,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9057232669,33.4194820307,88861,TE201621696         ,2016-02-21T15:07:00.000Z,1XXX E HAYDEN LN     ,703339,880154,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9336349129,33.4072399637,88863,TE201620680         ,2016-02-18T21:09:00.000Z,2XXX S EL CAMINO DR     ,694822,875700,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9410843419,33.3867905456,88870,TE201621243         ,2016-02-08T00:00:00.000Z,4XXX S MILL AVE     ,692547,868260,Point has not been altered,DAVENPORT APARTMENTS                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8992607588,33.4163755986,88871,TE201621612         ,2016-02-21T11:15:00.000Z,2XXX E HOWE AVE     ,705311,879024,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9538343905,33.4152196715,88873,TE201621221         ,2016-02-20T15:32:00.000Z,1XXX W 12TH PL     ,688659,878605,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9528583912,33.4246442251,88882,TE201620777         ,2016-02-19T15:23:00.000Z,5XX S HARDY DR    ,688958,882034,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.958700082,33.4265800037,88883,TE201621173         ,2016-02-20T13:11:00.000Z,1XXX W 4TH ST     ,687176,882739,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.900538945,33.4162301061,88885,TE201621605         ,2016-02-21T10:51:00.000Z,1XXX S SMITH RD     ,704921,878971,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9284276418,33.3819002091,88892,TE201620701         ,2016-02-19T12:05:00.000Z,4XXX S RURAL RD     ,696410,866480,Point has not been altered,FERNWOOD MANOR APARTMENTS               ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9098503015,33.4101734855,88893,TE201620707         ,2016-02-15T08:00:00.000Z,1XXX E BROADWAY RD     ,702080,876767,Point has not been altered,SAN MARBEYA APARTMENTS                  ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9012158217,33.4063606719,88895,TE201621191         ,2016-02-20T00:00:00.000Z,1XXX E EL PARQUE DR     ,704715,875380,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9445424303,33.3817739573,88902,TE201622014         ,2016-02-19T22:00:00.000Z,4XX W BASELINE RD    ,691491,866435,Point has not been altered,in CHAPARRAL TRAILER PARK               ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9152444938,33.4047785433,88903,TE201621106         ,2016-02-19T22:00:00.000Z,1XXX E BROADMOR DR     ,700434,874804,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9502759454,33.4170098964,88915,TE201622145         ,2016-02-22T20:30:00.000Z,8XX W HOWE ST    ,689745,879256,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8992458164,33.4091417978,88930,TE201621192         ,2016-02-20T14:13:00.000Z,2XXX E BROADWAY RD     ,705316,876392,Point has not been altered,in WILLOW CREEK APARTMENTS              ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9221414245,33.3898600575,88934,TE201622055         ,2016-02-22T10:00:00.000Z,3XXX S TERRACE RD     ,698329,869376,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9562222071,33.41952293,88944,TE201618730         ,2016-02-14T00:30:00.000Z,1XXX W ELNA RAE ST     ,687931,880171,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8955004588,33.4213248844,88952,TE201619682         ,2016-02-15T22:00:00.000Z,8XX S RIVER DR    ,706458,880825,Point has not been altered,PARKSIDE APARTMENTS                     ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9222579684,33.4190921145,88958,TE201619575         ,2016-02-12T12:00:00.000Z,9XX S TERRACE RD    ,698294,880012,Point has not been altered,COLLEGE TOWN                            ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8862803963,33.4224910384,88959,TE201621121         ,2016-02-20T09:07:00.000Z,2XXX E 7TH ST     ,709271,881250,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8879573359,33.426050614,88960,TE201619908         ,2016-02-12T22:00:00.000Z,2XXX E 5TH ST     ,708759,882545,Point has not been altered,in VILLAGIO AT TEMPE                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9463192311,33.3756308296,88977,TE201620791         ,2016-02-19T16:12:00.000Z,5XX W DUKE DR    ,690948,864200,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9488127212,33.3594612322,88979,TE201621982         ,2016-02-22T11:14:00.000Z,4XX W CARMEN ST    ,690185,858317,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9580995496,33.4181838459,88980,TE201619483         ,2016-02-15T23:30:00.000Z,1XXX W 10TH PL     ,687358,879684,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.93742521,33.3333233102,88984,TE201622097         ,2016-02-21T17:30:00.000Z,8XXX S LORI LN     ,693660,848806,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9448747505,33.345634836,88990,TE201621190         ,2016-02-20T14:05:00.000Z,7XXX S STEPHANIE LN     ,691386,853286,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9224101851,33.3913964086,88992,TE201622001         ,2016-02-22T09:30:00.000Z,1XXX E MALIBU DR     ,698247,869935,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9554626521,33.3623506772,88993,TE201619170         ,2016-02-14T08:45:00.000Z,1XXX W WOODMAN DR     ,688155,859369,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9698653397,33.3858031106,88994,TE201619655         ,2016-02-16T17:00:00.000Z,2XXX W RIVIERA DR     ,683762,867904,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9201046646,33.4183336341,88995,TE201622263         ,2016-02-23T05:14:00.000Z,1XXX E ORANGE ST     ,698951,879736,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8839553141,33.4259341905,88996,TE201622085         ,2016-02-14T12:00:00.000Z,2XX S EVERGREEN RD    ,709980,882503,Point has not been altered,in VILLAGIO AT TEMPE                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9170074648,33.4050176624,88998,TE201620009         ,2016-02-17T17:38:00.000Z,1XXX E BROADMOR DR     ,699896,874891,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9469653018,33.3777579504,89000,TE201621734         ,2016-02-21T16:00:00.000Z,5XX W BASELINE RD    ,690751,864974,Point has not been altered,505WEST                                 ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9198912962,33.409211689,91004,TE201628011         ,2016-03-07T10:00:00.000Z,1XXX E VISTA DEL CERRO DR     ,699016,876417,Point has not been altered,DESERT PALM VILLAGE APARTMENTS          ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9289770483,33.4447259127,91009,TE201632777         ,2016-03-15T21:00:00.000Z,1XXX N MCALLISTER AVE     ,696245,889339,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9414032607,33.4254495707,91012,TE201633104         ,2016-03-19T20:05:00.000Z,1XX W 5TH ST    ,692453,882326,Point has not been altered,HANOVER MILL AVENUE                     ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9379734275,33.325718282,91013,TE201633024         ,2016-03-19T15:09:00.000Z,1XX W VERA LN    ,693492,846039,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9212679101,33.4139086687,91030,TE201633607         ,2016-03-21T01:25:00.000Z,1XXX E APACHE BLVD     ,698596,878126,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9152841075,33.3864026648,91031,TE201632584         ,2016-03-18T15:36:00.000Z,3XXX S OAK ST     ,700422,868118,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9561443462,33.3487952109,91034,TE201631254         ,2016-03-14T18:00:00.000Z,1XXX W ELLIOT RD     ,687945,854437,Point has not been altered,SAN CAPELLA                             ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9127532906,33.4217746176,91036,TE201625024         ,2016-02-29T19:06:00.000Z,1XXX E UNIVERSITY DR     ,701194,880988,Point has not been altered,GATEWAY AT TEMPE APARTMENTS             ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9541035373,33.3626699119,91038,TE201628576         ,2016-03-09T03:10:00.000Z,6XXX S HARDY DR     ,688570,859485,Point has not been altered,LA SERENA APARTMENTS                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9587867721,33.3820887574,91042,TE201633034         ,2016-03-18T12:00:00.000Z,4XXX S PRIEST DR     ,687143,866551,Point has not been altered,RANCHO TEMPE TP                         ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9342840449,33.424898358,91043,TE201633625         ,2016-03-21T01:13:00.000Z,3XX E VETERANS WAY    ,694625,882125,Point has not been altered,UNIVERSITY HOUSE                        ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.916532381,33.3611501792,91045,TE201633367         ,2016-03-19T20:30:00.000Z,1XXX E WOODMAN DR     ,700041,858930,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9146613411,33.3989079343,91046,TE201633462         ,2016-03-18T20:30:00.000Z,1XXX E ALAMEDA DR     ,700612,872668,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9246632308,33.4150133543,91049,TE201633527         ,2016-03-20T17:09:00.000Z,9XX E APACHE BLVD    ,697560,878528,Point has not been altered,in 922PLACE                             ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9351468928,33.3203647666,91052,TE201632923         ,2016-03-18T10:30:00.000Z,7X E EVELYN LN   ,694355,844091,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8851187278,33.4173320007,91054,TE201632789         ,2016-03-19T00:04:00.000Z,2XXX E DON CARLOS AVE     ,709626,879373,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9257514811,33.416868451,91057,TE201633398         ,2016-03-19T14:00:00.000Z,9XX E LEMON ST    ,697228,879203,Point has not been altered,THE LINK                                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.918091391,33.360306404,91071,TE201633401         ,2016-03-19T22:00:00.000Z,1XXX E CARMEN ST     ,699565,858623,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9186508932,33.3355402704,91073,TE201633392         ,2016-03-19T17:30:00.000Z,1XXX E LOS ARBOLES DR     ,699394,849612,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9164832169,33.3779457921,91084,TE201633680         ,2016-03-21T01:30:00.000Z,1XXX E NORTHSHORE DR     ,700056,865041,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9577549325,33.4241012654,91088,TE201633489         ,2016-03-18T12:00:00.000Z,1XXX W 7TH ST     ,687464,881837,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9596581705,33.3753713235,91090,TE201632964         ,2016-03-19T10:52:00.000Z,1XXX W BASELINE RD     ,686876,864107,Point has not been altered,MISSION SPRINGS APARTMENTS              ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8987807697,33.4076988186,91094,TE201633927         ,2016-03-21T20:53:00.000Z,2XXX E BROADWAY RD     ,705458,875867,Point has not been altered,WILLOW CREEK APARTMENTS                 ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9383276983,33.3813794253,91095,TE201633935         ,2016-03-21T21:15:00.000Z,4XXX S GRANDVIEW AVE     ,693388,866291,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9190188568,33.3817193484,91105,TE201633906         ,2016-03-21T19:23:00.000Z,4XXX S STANLEY PL     ,699282,866414,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8868424367,33.4274630272,91113,TE201633806         ,2016-03-21T14:19:00.000Z,2XXX E 5TH ST     ,709099,883059,Point has not been altered,in VILLAGIO AT TEMPE                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9305809855,33.3675257463,91115,TE201633897         ,2016-03-19T13:00:00.000Z,6XX E WESTCHESTER DR    ,695752,861250,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9038197345,33.414966224,91117,TE201633992         ,2016-03-22T00:41:00.000Z,1XXX E APACHE BLVD     ,703920,878511,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9270597814,33.3947024466,91118,TE201633771         ,2016-03-21T12:08:00.000Z,7XX E GENEVA DR    ,696828,871138,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9143596546,33.4077000863,91119,TE201633757         ,2016-03-21T06:00:00.000Z,1XXX E BROADWAY RD     ,700704,875867,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9242716136,33.4340130585,91120,TE201633000         ,2016-03-19T12:00:00.000Z,1XXX E PLAYA DEL NORTE DR     ,697680,885441,Point has not been altered,TEN01 ON THE LAKE APARTMENTS            ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9219890785,33.4167917142,91124,TE201633709         ,2016-03-20T23:00:00.000Z,1XXX E LEMON ST     ,698376,879175,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9194184784,33.3799988306,91128,TE201633681         ,2016-03-20T12:00:00.000Z,5XXX S TERRACE RD     ,699160,865788,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
